year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
France,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,24.6,25.9,10.1,20.6,23.7,16.9,19.2,14.3,18.2,14.6,14.8,15.6,11.4,22.6,14.8,12.6,12,17.9,17.7,12.9,15.9,8.4,20.5,7.4,12.2
Serbia,0,0,0,0,0,0,0,0,0,19.6,28.2,27.2,30.8,34,35.1,29.9,33.5,28.2,35.2,29,29.9,20.6,14,12.5,19.2,23.9,12.8,7.9,21.3,22.2,21.1,15.9,5.4,0,0,19.8,23.1,28.4,21.4,18.4,28.8,16,12
Croatia,0,0,0,0,0,0,0,0,0,12.6,11,21.3,9.5,19.2,14.4,25.8,21.6,18.1,8.5,9.7,12.6,13.8,20.1,13.5,11.1,11.6,5.3,14.8,12.4,7.5,22,0,0,0,18.5,19.4,16.6,11.9,18.6,15.2,19.4,13.8,30.9
Spain,0,0,0,0,0,0,8.2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7,18,25.6,24.4,21.4,20.8,20.5,23.6,22.3,27.6,31.2,23.8,14.6,19.8,22.2,18,12.7,17,16.8,19.2,11.8,17.5
Germany,0,0,0,0,0,11.8,13.2,13.7,13.9,14.7,32.1,32.6,37.8,31,32,32.2,33.6,31.9,25.6,29.4,29,26.1,30.2,23.6,25.5,25.9,23.6,36.6,33.7,35.9,30.2,31.4,26,8.2,10.9,13.3,16.8,15.8,10.1,18.8,15.7,25,29.5
Lithuania,0,0,0,0,0,0,0,0,0,22.6,19.7,29.4,27.9,0,18.1,21.7,10.1,30.5,13.5,25.6,21.3,21.4,15,18.4,27.1,13.9,11.5,18.1,22.9,19.9,19,21.6,19.7,21.8,27.4,20.4,17.4,12.7,19.1,18.2,16.2,9.2,27.6
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,17.5,10.3,6.7,4.5,14.4,8.7,0,11.8,4.8,8.7,16.5,22.4,18.6,18.9,19.2,12.5,17.5,9.2,10.3,11.8,18.9,12.6
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,8.4,24.6,18.2,24.1,14.8,8.7,23.5,35,35,26.7,16.2,14.9,20.8,16.6,21.8,16.5,21.1,10.1,19.8,21.4,10.6,15.9,20
Italy,0,0,0,0,0,0,0,0,0,0,11,8.2,0,0,7,6.8,0,0,0,0,0,0,0,0,0,10.7,18.1,14.8,18.1,26.3,32,31.4,29.9,10.4,17.2,27,22.9,20.4,25.4,18.4,13.5,16.4,11.6
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,2,0,0,26.2,32.9,20.1,18,12.2,4.8,21.2,27.3,29,21.4,15.6,22.1,11.2,16.8,8.8,7.3,8.9,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,9.9,21,16.9,17.1,11.6,13.9,15.3,16.2,9,22.3,15.8,18.3,18.4,21.6,24.4,23.2,13.2,12.1,22.9,14.2,29.9,17.1,18.7,20.6,15.4
England,14.4,20.9,21.8,30.8,29.2,32.3,36.9,31.1,32.9,17.6,34.1,18.5,15.7,0,14.3,12.8,0,0,0,21.1,20.9,10.9,7.8,3,23.1,24.4,16.4,22.8,20.6,11.5,19.5,27.8,18.9,15.5,18.4,32.4,26.5,16.5,19,14.9,16.6,18,35.5
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,4.3,10.8,15.5,16.2,12,11,12.9,21.2,9.8,19.1,14,15.7,28.3,8.8,15.4,23.7,26.4,18.1,8.1,12.9,8.7,12.5,12.2,9.1
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,14.4,12.3,0,0,0,0,0,0,0,0,9.4,19.4,20.1,19.2,18.8,21.1,9,14,11.9,20.2,28.2
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,17.7,27.9,22.7,14.4,13.7,13.1,21.5,10,6.8,5,8.4,8.1,9.2,11.2,5.7,9,5.8,22,23.3,20.3,20.2,15.3,20.1,17.7,14.4,2.6
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,12.8,14.7,29,27.3,30,23.1,23.7,15.7,9.3,7.5,0,28.4,22.4,23.2,19.1,19.4,11.6,21.7,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,16.9,9.6,14.7,8.3,0,0,0,0,13.6,21.4,32.4,31.3,30.2,22.1,14.4,29.5,31.4,32.2,33.5,33.1,31.1
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,7.2,5.3,0,0,0,0,6.3,26.9,18.5,14.9,0,0,0,0,0,18.9,11.8,14.4,0,0,12.6,22.5,27.1,28.9,16.5,22.8,2.3
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,0,0,0,0,0,0,0,0,0,0,25.1,24,20.6,11.7,13.8,16,13.6,8.9,8.6,11.5,7.9,14.2,24.2,22.5
Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,7.9,0,0,0,0,0,0,0,8.1,0,0,0,0,0,18.5,10.9,5.9,0,6.6,0,0,0,0,0
Netherlands,34.3,27.4,7.3,12,0,0,0,0,24.9,29.3,22.2,23.9,25.6,15.1,16.8,16.6,29.2,28.6,25.9,23.4,0,0,15.5,15.4,18,16.9,17.3,11.7,15.3,7.7,10.4,4.8,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,5.7,6.4,5.2,4.7,0,6.8,12.6,13.4,25.4,32,30.8,32.8,29.9,30.1,31.2,25.3,16,0,0,0,22.6
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,16.7,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,29.7,32.3,29.8,25.8,30.8,32.8
Ireland,0,0,0,0,0,0,0,0,0,0,0,8.5,10.2,19.3,25.2,12.9,21.8,11.6,5,6.1,8.5,11.3,12.6,0,0,8.2,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,0,22.9,18.9,17.9,15.6,15.1,15.8,15.3,16.7,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,20.8,22,28.6,25.9,21.8,27.5,26,13.2,21.2,24.8,24.4,22.9,21.7,30.1,27.6,27.4
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,18.6,16.5,17.7,26.7,29,28.8
