Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bosnia,,,,,,,,,,,,,,,,,,,,8.0$1325760,0.0$1425120,0.0$1524600,10.7$720046,,,,,,,,,,,,,,,,,,,,
Bosnia,,,,,,,,,,,,,,,,,,,,,,6.0$332817,0.0$124984,,,,,,,,,,,,,,,,,,,,
Bosnia,,,,,,,,,,,,,,,,,,,,,,,23.5$349458,12.3$563679,,,,,,,,,,,,,,,,,,,
Bosnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4$3090000,19.4$3229050,22.3$3368100,21.3$5500000,16.2$10500000,15.9$10500000,0.0$3500000,0.0$3500000,,,
Bosnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8$1762680,17.1$1842000,21.4$1921320,26.4$2947305,27.4$11111111,31.6$12000000,23.8$12888889,28.2$12000000,28.2$15625000
Bosnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3$1632240,12.2$1911600,0.0$2002800,,
Bosnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2$925258,
Bosnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,12.6$1300000,16.6$1200000,36.9$1375000,38.0$1615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,5.4$222000,5.8$665000,0.0$831000,0.0$831000,0.0$831000,,14.5$2900000,15.3$3580000,6.0$4060000,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,0.0$711000,28.8$1650000,32.5$2145000,37.4$2640000,35.0$5313000,0.0$2500000,0.0$2500000,0.0$2270500,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,24.1$1025000,31.9$3260000,26.0$3560000,28.2$3960000,30.2$4560000,37.6$4610000,31.9$4500000,24.6$6000000,25.3$7906783,27.0$8050000,20.8$9056250,20.7$3000000,15.7$2000000,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,4.9$500000,19.9$650000,16.8$800000,17.3$950000,6.3$1100000,14.1$1200000,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,3.7$287500,4.4$385000,10.9$997000,4.0$565850,5.3$637435,6.6$751159,3.5$870046,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,7.4$795000,12.8$854640,7.6$830947,0.0$1599076,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,28.3$1400000,28.0$1540000,20.5$4000000,25.8$4000000,19.5$4000000,14.8$4000000,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,9.7$980280,12.0$1053720,10.6$1127280,0.0$150000,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,7.9$385277,7.6$682050,0.0$919551,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7$412718,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4$1250000,7.5$303232,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0$0,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8$3278000,26.7$3425510,25.7$3730653,30.8$10500000,31.8$10500000,33.1$10500000,30.8$17000000,30.9$17661000,31.2$18502000
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4$1100000,8.4$1149500,7.0$980431,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0$525093,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4$816482,,18.4$3000000,0.0$1000000,0.0$1000000,0.0$1000000,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9$3741480,14.8$3909840,22.1$4078320,20.8$6500000,16.4$1737145,0.0$1977011,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3$2318280,29.6$2422560,25.0$2526840,24.7$3481986,17.4$9250000,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3$4276320,25.2$4468800,18.0$4661280,17.9$1868556,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0$1034956,9.5$1312611,17.6$1544951,18.4$6481482,22.3$7000000,24.4$7518518,30.5$22000000
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7$1645200,18.3$1952760,10.0$2281800,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16$2689920,19.3$2824320,0.0$2959080,
Czech,,,,,,,,,,,,,,,,12.5$603000,7.2$694000,5.3$784200,,,,,,,,,,,,,,,,,,,,,,,,,
Czech,,,,,,,,,,,,,,,,,,,,,,,6.3$1234080,26.9$1326600,18.5$1419240,14.9$2177114,,,,,,,,,,,,,,,,,
Czech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9$3065040,11.8$3294960,14.4$3340920,,,,,,,,,
Czech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6$2870813,22.5$3000000,27.1$3129187,28.9$9375000,16.5$10000000,22.5$10000000,
