Name,Country,Start,Seasons,Minutes,Salary,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
James Donaldson,England,1980,14,26,3845000,14.4$0,20.9$0,21.8$0,30.8$0,29.2$470000,32.3$515000,36.9$0,31.1$500000,32.9$600000,31.0$0,34.1$880000,18.5$880000,15.7$0,,14.3$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swen Nater,Netherlands,1980,4,28.7,0,34.3$0,27.4$0,7.3$0,12.0$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pétur Guðmundsson,Iceland,1981,4,14.3,450000,,12.4$0,,,,16.0$0,,14.7$175000,14.0$275000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard Carter,France,1983,1,9.2,0,,,,12.5$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detlef Schrempf,Germany,1985,16,29.1,30458333,,,,,,15.1$290000,21.1$0,19.4$390000,26.8$440000,33.0$0,32.1$1160000,32.6$1278000,37.8$1393000,33.7$1308000,35.2$5000000,34.9$5000000,35.9$3333000,35.2$3333333,35.3$3333000,21.6$2000000,15.3$2200000,,,,,,,,,,,,,,,,,,,,,,
Uwe Blab,Germany,1985,5,7.9,740000,,,,,,8.5$200000,5.3$0,9.0$260000,5.6$280000,11.3$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Martín,Spain,1986,1,6.1,0,,,,,,,6.1$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Rogers,Spain,1986,2,8.7,75000,,,,,,,10.4$0,7.0$75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Welp,Germany,1987,3,10.7,525000,,,,,,,,13.2$257500,11.7$267500,7.3$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rik Smits,Netherlands,1988,12,26.7,43750000,,,,,,,,,24.9$800000,29.3$0,22.2$1350000,23.9$1350000,25.6$2000000,27.1$2500000,30.5$3250000,30.2$3750000,29.2$4000000,28.6$4000000,25.9$8500000,23.4$12250000,,,,,,,,,,,,,,,,,,,,,,,
Dražen Petrović,Croatia,1989,4,26,5490000,,,,,,,,,,12.6$1300000,16.6$1200000,36.9$1375000,38.0$1615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Šarūnas Marčiulionis,Lithuania,1989,8,21.8,14337000,,,,,,,,,,22.6$1400000,19.7$1270000,29.4$1267000,27.9$1500000,0.0$1900000,18.1$2100000,19.6$2400000,15.0$2500000,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Bucknall,England,1989,1,4.2,0,,,,,,,,,,4.2$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torgeir Bryn,Norway,1989,1,3.3,0,,,,,,,,,,3.3$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vlade Divac,Serbia,1989,16,29.8,93120635,,,,,,,,,,19.6$770000,28.2$942000,27.2$3633000,30.8$4133000,34.0$3333300,35.1$3333000,31.3$4718000,35.1$4833333,28.2$8300000,35.2$8837774,29.0$9640000,29.9$10444642,30.3$11248076,29.8$12051510,28.6$4903000,8.7$2000000,,,,,,,,,,,,,,,,,,
Brian Oliver,Italy,1990,5,9.6,1973000,,,,,,,,,,,11.0$455000,8.2$456000,0.0$456000,0.0$456000,7.0$150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stojko Vranković,Croatia,1990,8,9.4,13920000,,,,,,,,,,,5.4$222000,5.8$665000,0.0$831000,0.0$831000,0.0$831000,,14.5$2900000,15.3$3580000,6.0$4060000,,,,,,,,,,,,,,,,,,,,,,,,
Marty Conlon,Ireland,1991,9,13.1,4381088,,,,,,,,,,,,8.5$130000,10.2$200000,19.3$250000,25.2$182500,12.9$1165000,21.8$1447500,11.6$0,5.0$662500,3.0$343588,,,,,,,,,,,,,,,,,,,,,,,
Gundars Vētra,Latvia,1992,2,6.8,575000,,,,,,,,,,,,,6.8$275000,0.0$300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dino Radja,Croatia,1993,8,33.4,19729500,,,,,,,,,,,,,0.0$711000,28.8$1650000,32.5$2145000,37.4$2640000,35.0$5313000,0.0$2500000,0.0$2500000,0.0$2270500,,,,,,,,,,,,,,,,,,,,,,,
Gheorghe Mureșan,Romania,1993,7,26.2,8848500,,,,,,,,,,,,,,12.0$500000,23.6$1150000,29.5$1963000,25.3$2363000,0.0$1887500,1.0$475000,1.0$510000,,,,,,,,,,,,,,,,,,,,,,,
Richard Petruška,Slovakia,1993,2,4.2,205000,,,,,,,,,,,,,,4.2$150000,0.0$55000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shawn Bradley,Germany,1993,14,23.4,69580000,,,,,,,,,,,,,,28.3$2700000,28.8$3510000,29.5$4320000,31.3$5130000,28.5$5940000,26.4$6750000,24.7$7560000,24.4$8370000,14.3$4500000,21.4$4000000,11.7$3500000,11.5$4000000,0.0$4500000,0.0$4800000,,,,,,,,,,,,,,,,
Toni Kukoč,Croatia,1993,13,26.5,61488033,,,,,,,,,,,,,,24.1$1025000,31.9$3260000,26.0$3560000,28.2$3960000,30.2$4560000,37.6$4610000,31.9$4500000,24.6$6000000,25.3$7906783,27.0$8050000,20.8$9056250,20.7$3000000,15.7$2000000,,,,,,,,,,,,,,,,,
Geert Hammink,Netherlands,1994,3,3,250000,,,,,,,,,,,,,,3.0$0,3.0$250000,3.0$0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergei Bazarevich,Russia,1994,1,7.4,168000,,,,,,,,,,,,,,,7.4$168000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Žan Tabak,Croatia,1994,6,13.2,5200000,,,,,,,,,,,,,,,4.9$500000,19.9$650000,16.8$800000,17.3$950000,6.3$1100000,14.1$1200000,,,,,,,,,,,,,,,,,,,,,,,
